club,weekday,weekday_index,avg_occupancy_pct,sample_days
Game4Padel Richmond,Monday,0,45.7,1
Game4Padel Richmond,Tuesday,1,17.1,1
Game4Padel Richmond,Wednesday,2,65.7,1
Game4Padel Richmond,Thursday,3,38.6,1
Game4Padel Richmond,Friday,4,52.4,1
Game4Padel Richmond,Saturday,5,42.3,2
Game4Padel Richmond,Sunday,6,92.3,1
